2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_24032026.csv (354.6 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_24042026.csv (360.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_25032026.csv (355.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_27032026.csv (358.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_27042026.csv (362.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_28042026.csv (358.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_29042026.csv (358.3 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_30032026.csv (359.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA010426.csv (209.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: MA020426.csv (208.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: market activity report
