2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_080426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_090426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_100426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_130426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_150426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_160426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_170426.csv
2026-05-05 22:45:15 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_190326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_200326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_200426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_210426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_220426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_230326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_230426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_240326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_240426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_250326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_270326.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_270426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_280426.csv
2026-05-05 22:45:16 | INFO     | pipeline.parsers.holdings | NiftyHoldingsParser: top10nifty50_290426.csv
2026-05-05 22:45:18 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-01-04-2026.csv
2026-05-05 22:45:18 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,297 rows
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-06-04-2026.csv
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,346 rows
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-07-04-2026.csv
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,314 rows
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-08-04-26.csv
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,369 rows
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-09-04-26.csv
2026-05-05 22:45:19 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,322 rows
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-10-04-26.csv
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,342 rows
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-13-04-2026.csv
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,325 rows
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-15-04-2026.csv
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,358 rows
2026-05-05 22:45:20 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-16-04-2026.csv
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,324 rows
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-17-04-2026.csv
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,350 rows
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-20-04-2026.csv
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,427 rows
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-21-04-2026.csv
2026-05-05 22:45:21 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,436 rows
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-22-04-2026.csv
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,396 rows
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-24-03-2026.csv
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,369 rows
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-24-04-2026.csv
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,395 rows
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-27-03-2026.csv
2026-05-05 22:45:22 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,323 rows
2026-05-05 22:45:23 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-27-04-2026.csv
2026-05-05 22:45:23 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,447 rows
2026-05-05 22:45:23 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser: StocksTraded-30-03-2026.csv
2026-05-05 22:45:23 | INFO     | pipeline.parsers.holdings | TotalStocksTradedParser result: 3,386 rows
