2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_27042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_28042026.csv (15.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: ind_close_all_29042026.csv (15.2 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: daily snapshot
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_01042026.csv (350.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_02042026.csv (348.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_06042026.csv (351.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_07042026.csv (349.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_08042026.csv (356.7 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_09042026.csv (349.4 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_10042026.csv (352.0 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_13042026.csv (350.5 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_15042026.csv (354.1 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_16042026.csv (351.9 KB)
2026-05-05 21:58:38 | INFO     | pipeline.watcher | In folder: full bhavcopy and security deliverable data
2026-05-05 21:58:38 | INFO     | pipeline.watcher | Detected: sec_bhavdata_full_17042026.csv (353.1 KB)
